Argentina,Belgium,Brazil,Norway,Spain,Sweden,Thailand
30.0,60.0,5.0,39.0,45.0,60.0,33.0
67.0,31.0,5.0,29.0,57.0,42.0,30.0
73.0,39.0,38.0,29.0,37.0,45.0,35.0
89.0,28.0,121.0,195.0,141.0,107.0,60.0
115.0,47.0,51.0,198.0,100.0,145.0,50.0
87.0,122.0,249.0,104.0,173.0,99.0,89.0
78.0,122.0,172.0,294.0,400.0,215.0,188.0
78.0,130.0,228.0,94.0,622.0,147.0,103.0
75.0,197.0,572.0,131.0,582.0,61.0,125.0
117.0,172.0,294.0,112.0,1477.0,81.0,107.0
117.0,185.0,360.0,130.0,1477.0,87.0,111.0
79.0,243.0,307.0,87.0,1159.0,89.0,91.0
132.0,309.0,431.0,196.0,1407.0,160.0,109.0
88.0,462.0,432.0,168.0,2144.0,200.0,143.0
98.0,558.0,487.0,204.0,1806.0,124.0,136.0
103.0,586.0,352.0,265.0,2162.0,171.0,127.0
74.0,391.0,374.0,217.0,4053.0,164.0,120.0
87.0,477.0,1087.0,266.0,2447.0,201.0,104.0
80.0,668.0,1163.0,218.0,4964.0,227.0,103.0
99.0,1298.0,1164.0,288.0,3394.0,314.0,89.0
81.0,1049.0,1150.0,399.0,5981.0,229.0,102.0
167.0,1850.0,1166.0,244.0,7309.0,378.0,51.0
67.0,1702.0,894.0,269.0,7457.0,253.0,38.0
67.0,1063.0,929.0,161.0,8271.0,328.0,111.0
147.0,876.0,1851.0,196.0,7933.0,407.0,54.0
147.0,1189.0,2154.0,236.0,7516.0,512.0,50.0
98.0,1384.0,1957.0,270.0,6875.0,621.0,45.0
85.0,1422.0,1644.0,223.0,7846.0,563.0,33.0
85.0,1661.0,1173.0,180.0,7967.0,312.0,28.0
102.0,1260.0,1230.0,137.0,8195.0,387.0,34.0
90.0,1123.0,1238.0,178.0,7947.0,376.0,30.0
113.0,1380.0,1832.0,221.0,7134.0,487.0,29.0
144.0,1209.0,3348.0,66.0,6969.0,726.0,28.0
147.0,1580.0,2073.0,66.0,5478.0,722.0,33.0
172.0,1684.0,2999.0,95.0,5029.0,544.0,32.0
173.0,1351.0,3040.0,95.0,5267.0,466.0,27.0
112.0,1629.0,1932.0,116.0,6278.0,332.0,19.0
111.0,942.0,2089.0,78.0,5002.0,465.0,15.0
124.0,530.0,2336.0,20.0,5051.0,497.0,13.0
158.0,2454.0,2678.0,174.0,4754.0,482.0,15.0
143.0,1236.0,3735.0,108.0,3804.0,613.0,53.0
104.0,1329.0,3503.0,32.0,3268.0,676.0,15.0
149.0,1045.0,6201.0,99.0,3961.0,606.0,9.0
102.0,1313.0,3663.0,42.0,6599.0,563.0,7.0
104.0,1487.0,3642.0,78.0,4289.0,392.0,9.0
133.0,973.0,6398.0,85.0,5891.0,545.0,7.0
188.0,933.0,6462.0,97.0,3577.0,682.0,6.0
163.0,908.0,6019.0,63.0,4258.0,751.0,6.0
240.0,1496.0,6729.0,62.0,1536.0,812.0,3.0
165.0,1032.0,4450.0,30.0,3968.0,610.0,18.0
258.0,809.0,4588.0,34.0,4211.0,463.0,1.0
244.0,553.0,7119.0,72.0,4635.0,286.0,1.0
285.0,647.0,6449.0,61.0,6740.0,695.0,3.0
316.0,525.0,11896.0,50.0,3995.0,681.0,8.0
,660.0,9082.0,28.0,2870.0,790.0,4.0
,513.0,10199.0,45.0,2793.0,428.0,5.0
,485.0,10169.0,26.0,2706.0,562.0,6.0
,389.0,6638.0,38.0,4771.0,235.0,2.0
,361.0,6444.0,57.0,2740.0,404.0,0.0
,242.0,8459.0,51.0,3349.0,495.0,
,272.0,11555.0,41.0,2579.0,702.0,
,639.0,,38.0,1555.0,705.0,
,591.0,,36.0,1179.0,642.0,
,585.0,,29.0,2260.0,656.0,
,485.0,,6.0,3121.0,401.0,
,368.0,,27.0,3173.0,348.0,
,330.0,,25.0,3262.0,602.0,
,202.0,,18.0,2666.0,637.0,
,,,,1880.0,,
,,,,3480.0,,
,,,,1377.0,,
,,,,1575.0,,
