Argentina,Belgium,Brazil,Norway,Spain,Sweden,Thailand
74.0,41.0,44.0,98.0,76.0,79.0,41.0
86.0,53.0,92.0,111.0,101.0,87.0,52.0
88.0,71.0,126.0,164.0,170.0,122.0,84.0
89.0,89.0,164.0,177.0,287.0,142.0,98.0
86.0,123.0,254.0,164.0,375.0,133.0,111.0
87.0,148.0,303.0,147.0,650.0,120.0,122.0
93.0,161.0,325.0,152.0,911.0,118.0,126.0
93.0,185.0,352.0,110.0,1063.0,93.0,107.0
104.0,221.0,392.0,131.0,1220.0,95.0,108.0
106.0,274.0,364.0,138.0,1532.0,123.0,112.0
102.0,351.0,403.0,157.0,1598.0,132.0,118.0
100.0,431.0,401.0,184.0,1735.0,148.0,121.0
99.0,461.0,415.0,210.0,2314.0,163.0,127.0
90.0,494.0,546.0,224.0,2522.0,172.0,126.0
88.0,536.0,692.0,234.0,3086.0,177.0,118.0
88.0,684.0,828.0,250.0,3404.0,215.0,108.0
84.0,776.0,987.0,277.0,4167.0,227.0,103.0
102.0,1068.0,1146.0,283.0,4819.0,269.0,89.0
98.0,1313.0,1107.0,283.0,5821.0,280.0,76.0
96.0,1392.0,1060.0,272.0,6482.0,300.0,78.0
105.0,1308.0,1198.0,253.0,7390.0,319.0,71.0
119.0,1336.0,1398.0,221.0,7697.0,375.0,60.0
105.0,1242.0,1557.0,226.0,7610.0,424.0,59.0
108.0,1186.0,1707.0,217.0,7688.0,486.0,58.0
112.0,1306.0,1755.0,221.0,7627.0,483.0,42.0
103.0,1383.0,1631.0,209.0,7679.0,479.0,38.0
92.0,1370.0,1448.0,197.0,7766.0,451.0,34.0
95.0,1369.0,1423.0,187.0,7817.0,425.0,30.0
106.0,1326.0,1764.0,156.0,7642.0,457.0,29.0
119.0,1310.0,1944.0,133.0,7144.0,539.0,30.0
133.0,1395.0,2298.0,125.0,6511.0,571.0,30.0
149.0,1440.0,2658.0,108.0,5975.0,589.0,29.0
149.0,1490.0,2678.0,87.0,5804.0,558.0,27.0
143.0,1437.0,2426.0,90.0,5410.0,505.0,25.0
138.0,1227.0,2479.0,80.0,5325.0,460.0,21.0
135.0,1381.0,2415.0,96.0,5270.0,448.0,17.0
129.0,1358.0,2554.0,99.0,4977.0,477.0,23.0
128.0,1298.0,2868.0,82.0,4375.0,546.0,22.0
135.0,1318.0,3690.0,86.0,4167.0,574.0,21.0
131.0,1475.0,3956.0,91.0,4477.0,588.0,19.0
120.0,1282.0,4148.0,71.0,4384.0,570.0,18.0
118.0,1229.0,4681.0,67.0,4801.0,556.0,9.0
135.0,1150.0,5273.0,80.0,4863.0,557.0,7.0
138.0,1122.0,5236.0,73.0,4922.0,586.0,7.0
165.0,1159.0,5850.0,77.0,3910.0,636.0,6.0
177.0,1068.0,6011.0,67.0,3846.0,680.0,8.0
202.0,1035.0,5649.0,57.0,3510.0,663.0,6.0
214.0,959.0,5781.0,52.0,3721.0,584.0,5.0
238.0,907.0,5867.0,51.0,4218.0,573.0,5.0
253.0,713.0,6900.0,49.0,4709.0,547.0,6.0
,638.0,7826.0,49.0,4490.0,583.0,3.0
,579.0,8949.0,51.0,4206.0,576.0,4.0
,566.0,9559.0,42.0,3820.0,631.0,5.0
,514.0,9596.0,37.0,3427.0,539.0,5.0
,481.0,8506.0,38.0,3176.0,483.0,3.0
,398.0,8381.0,43.0,3271.0,424.0,
,349.0,8653.0,42.0,3229.0,479.0,
,380.0,,45.0,2998.0,508.0,
,421.0,,44.0,2280.0,589.0,
,465.0,,39.0,2184.0,640.0,
,514.0,,30.0,2138.0,621.0,
,533.0,,27.0,2257.0,550.0,
,471.0,,24.0,2599.0,529.0,
,394.0,,21.0,2896.0,528.0,
,,,,2820.0,,
,,,,2892.0,,
,,,,2533.0,,
,,,,2195.0,,
